url,publisher,repo,slug,name,description,category,tags,install_count,github_stars,install_command,date_added,security_audited,external_links
https://skills.sh/addyosmani/web-quality-skills/accessibility,addyosmani,web-quality-skills,accessibility,"accessibility","Discover and install skills for AI agents.",Frontend/Design,"accessibility",,,"$ npx skills add https://github.com/addyosmani/web-quality-skills --skill accessibility",,true,"https://vercel.com, https://github.com/addyosmani/web-quality-skills/blob/HEAD/skills/accessibility/references/A11Y-PATTERNS.md#modal-focus-trap, https://github.com/addyosmani/web-quality-skills/blob/HEAD/skills/accessibility/references/A11Y-PATTERNS.md#skip-link, https://github.com/addyosmani/web-quality-skills/blob/HEAD/skills/accessibility/references/A11Y-PATTERNS.md#dragging-movements, https://github.com/addyosmani/web-quality-skills/blob/HEAD/skills/accessibility/references/A11Y-PATTERNS.md#form-labels"
https://skills.sh/jimliu/baoyu-skills/baoyu-markdown-to-html,jimliu,baoyu-skills,baoyu-markdown-to-html,"baoyu-markdown-to-html","Discover and install skills for AI agents.",Mobile,"baoyu, markdown, to, html",,,"$ npx skills add https://github.com/jimliu/baoyu-skills --skill baoyu-markdown-to-html",,true,"https://vercel.com, https://github.com/jimliu/baoyu-skills"
https://skills.sh/wshobson/agents/api-design-principles,wshobson,agents,api-design-principles,"api-design-principles","Discover and install skills for AI agents.",Database/Backend,"api, design, principles",,,"$ npx skills add https://github.com/wshobson/agents --skill api-design-principles",,true,"https://vercel.com, https://github.com/wshobson/agents"
https://skills.sh/addyosmani/web-quality-skills/seo,addyosmani,web-quality-skills,seo,"seo","Discover and install skills for AI agents.",Mobile,"seo",,,"$ npx skills add https://github.com/addyosmani/web-quality-skills --skill seo",,true,"https://vercel.com, https://github.com/addyosmani/web-quality-skills/blob/HEAD/skills/seo/../core-web-vitals/SKILL.md, https://search.google.com/test/rich-results, https://validator.schema.org/, https://developers.google.com/search"
https://skills.sh/jimliu/baoyu-skills/baoyu-xhs-images,jimliu,baoyu-skills,baoyu-xhs-images,"baoyu-xhs-images","Discover and install skills for AI agents.",Cloud/Azure,"baoyu, xhs, images",,,"$ npx skills add https://github.com/jimliu/baoyu-skills --skill baoyu-xhs-images",,true,"https://vercel.com, https://github.com/jimliu/baoyu-skills"
https://skills.sh/jimliu/baoyu-skills/baoyu-cover-image,jimliu,baoyu-skills,baoyu-cover-image,"baoyu-cover-image","Discover and install skills for AI agents.",Mobile,"baoyu, cover, image",,,"$ npx skills add https://github.com/jimliu/baoyu-skills --skill baoyu-cover-image",,true,"https://vercel.com, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-cover-image/references/style-presets.md, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-cover-image/references/auto-selection.md, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-cover-image/references/types.md, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-cover-image/references/palettes/"
https://skills.sh/jimliu/baoyu-skills/baoyu-article-illustrator,jimliu,baoyu-skills,baoyu-article-illustrator,"baoyu-article-illustrator","Discover and install skills for AI agents.",Mobile,"baoyu, article, illustrator",,,"$ npx skills add https://github.com/jimliu/baoyu-skills --skill baoyu-article-illustrator",,true,"https://vercel.com, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-article-illustrator/references/workflow.md, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-article-illustrator/references/style-presets.md, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-article-illustrator/references/styles.md, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-article-illustrator/references/config/first-time-setup.md"
https://skills.sh/avdlee/swiftui-agent-skill/swiftui-expert-skill,avdlee,swiftui-agent-skill,swiftui-expert-skill,"swiftui-expert-skill","Discover and install skills for AI agents.",Mobile,"swiftui, expert, skill",,,"$ npx skills add https://github.com/avdlee/swiftui-agent-skill --skill swiftui-expert-skill",,true,"https://vercel.com, https://github.com/avdlee/swiftui-agent-skill"
https://skills.sh/othmanadi/planning-with-files/planning-with-files,othmanadi,planning-with-files,planning-with-files,"planning-with-files","Discover and install skills for AI agents.",Frontend/Design,"planning, with, files",,,"$ npx skills add https://github.com/othmanadi/planning-with-files --skill planning-with-files",,true,"https://vercel.com, https://docs.anthropic.com/en/docs/claude-code/hooks, https://github.com/othmanadi/planning-with-files/blob/HEAD/skills/planning-with-files/templates/task_plan.md, https://github.com/othmanadi/planning-with-files/blob/HEAD/skills/planning-with-files/templates/findings.md, https://github.com/othmanadi/planning-with-files/blob/HEAD/skills/planning-with-files/templates/progress.md"
https://skills.sh/vercel-labs/agent-skills/vercel-react-view-transitions,vercel-labs,agent-skills,vercel-react-view-transitions,"vercel-react-view-transitions","Discover and install skills for AI agents.",Frontend/Design,"vercel, react, view, transitions",,,"$ npx skills add https://github.com/vercel-labs/agent-skills --skill vercel-react-view-transitions",,true,"https://vercel.com, https://github.com/facebook/react/pull/36135, https://github.com/vercel-labs/agent-skills"
